RefNet: Automatic Essay Scoring by Pairwise Comparison,['https://www.semanticscholar.org/paper/RefNet%3A-Automatic-Essay-Scoring-by-Pairwise-Li-Zhou/7c522c83b4048ef19b93b2ca48c7ba4d4ea6d2d6'],[{'Citations': 0}]
Topology of deep neural networks,['https://www.semanticscholar.org/paper/Topology-of-deep-neural-networks-Naitzat-Zhitnikov/b11b6538b5364901c17d41ef075c4c69094e4564'],[{'Citations': 0}]
Provable Convergence and Global Optimality  of Generative Adversarial Network,['https://www.semanticscholar.org/paper/Provable-Convergence-and-Global-Optimality-of-Cai-Yang/a3bd94fe25d3feb3374ae68497c7bef87be435e2'],[{'Citations': 0}]
Improving Irregularly Sampled Time Series Learning with Dense Descriptors of Time,['https://www.semanticscholar.org/paper/Improving-Irregularly-Sampled-Time-Series-Learning-Sousa-Pereira/922f8ab684fafcfc7537266e45673136281c7d8e'],[{'Citations': 0}]
Understanding and Training Deep Diagonal Circulant Neural Networks,['https://www.semanticscholar.org/paper/Understanding-and-Training-Deep-Diagonal-Circulant-Araujo-N%C3%A9grevergne/38dfaa16bfdafe2e95f24dbf0bb3291012a408ce'],[{'Citations': 0}]
DP-LSSGD: An Optimization Method to Lift the Utility in Privacy-Preserving ERM,['https://www.semanticscholar.org/paper/DP-LSSGD%3A-An-Optimization-Method-to-Lift-the-in-ERM-Wang-Gu/892b0be7f65c29f580cf4fb74711c3d4e3ce28e9'],[{'Citations': 0}]
On Global Feature Pooling for Fine-grained Visual Categorization,['https://www.semanticscholar.org/paper/On-Global-Feature-Pooling-for-Fine-grained-Visual-Guo-Anderson/42a3395a3f0b3eae4e34db2acbb6cd7be5c65caf'],[{'Citations': 0}]
Quantifying Exposure Bias for Neural Language Generation,['https://www.semanticscholar.org/paper/Quantifying-Exposure-Bias-for-Neural-Language-He-Zhang/cbb1a1a80d26043867bb8bf2b7227c9139710ee5'],[{'Citations': 5}]
Mix-review: Alleviate Forgetting in the Pretrain-Finetune Framework for Neural Language Generation Models,['https://www.semanticscholar.org/paper/Mix-review%3A-Alleviate-Forgetting-in-the-Framework-He-Liu/cc16ede128347e0bd0486941680082c2988ddf0e'],[{'Citations': 2}]
INVOCMAP: MAPPING METHOD NAMES TO METHOD INVOCATIONS VIA MACHINE LEARNING,['https://www.semanticscholar.org/paper/INVOCMAP%3A-MAPPING-METHOD-NAMES-TO-METHOD-VIA-Phan-Jannesari/d9319668430758f65701de4f198c4ad345f09211'],[{'Citations': 0}]
Fix-Net: pure fixed-point representation of deep neural networks,['https://www.semanticscholar.org/paper/Fix-Net%3A-pure-fixed-point-representation-of-deep-Enderich-Timm/36acc5e2b483494958469a3a619df906bcdda994'],[{'Citations': 0}]
Random Partition Relaxation for Training Binary and Ternary Weight Neural Network,['https://www.semanticscholar.org/paper/RPR%3A-Random-Partition-Relaxation-for-Training%3B-and-Cavigelli-Benini/834165039868b0a282cd20596543a8f29b19a5f4'],[{'Citations': 2}]
Emergent Communication in Networked Multi-Agent Reinforcement Learning,['https://www.semanticscholar.org/paper/Emergent-Communication-in-Networked-Multi-Agent-Gupta-Hazra/5cf809cbf2e7ab93fe4065fc6f7698c368f02a06'],[{'Citations': 0}]
Recognizing Plans by Learning Embeddings from Observed Action Distributions,['https://www.semanticscholar.org/paper/Recognizing-Plans-by-Learning-Embeddings-from-Zha-Li/0a201f8ff2882a8843aea855603ecabec8043add'],[{'Citations': 5}]
Cancer homogeneity in single cell revealed by Bi-state model and Binary matrix factorization,['https://www.semanticscholar.org/paper/Cancer-homogeneity-in-single-cell-revealed-by-model-Wan-Chang/b5f53013550b718d8ffeaf6b09b01b11a35f9264'],[{'Citations': 0}]
Residual EBMs: Does Real vs. Fake Text Discrimination Generalize?,['https://www.semanticscholar.org/paper/Residual-EBMs%3A-Does-Real-vs.-Fake-Text-Generalize-Bakhtin-Gross/c0f84c1a62737b3500087f6d75208c55d6afc4f4'],[{'Citations': 0}]
EnsembleNet: A novel architecture for Incremental Learning,['https://www.semanticscholar.org/paper/EnsembleNet%3A-A-novel-architecture-for-Incremental-Harsha-Kalidas/ecde0ca492f31284cfce87c56870edcd7c88ce76'],[{'Citations': 0}]
Dual Sequential Monte Carlo: Tunneling Filtering and Planning in Continuous POMDPs,['https://www.semanticscholar.org/paper/Dual-Sequential-Monte-Carlo%3A-Tunneling-Filtering-in-Wang-Liu/dc338eea606947817d212d4e5d85e026a4519be5'],[{'Citations': 3}]
Fast Bilinear Matrix Normalization via  Rank-1 Update,['https://www.semanticscholar.org/paper/Fast-Bilinear-Matrix-Normalization-via-Rank-1-Yu-Cai/25ad8fd87d8868bc42fc0f79b702a39d6227950e'],[{'Citations': 0}]
Task-Mediated Representation Learning,['https://www.semanticscholar.org/paper/Task-Mediated-Representation-Learning-Bugrov-Sun/cdbd592227bb6148ddfd3a44d05ca4a2cb44d7c2'],[{'Citations': 0}]
Universality Theorems for Generative Models,['https://www.semanticscholar.org/paper/Universality-Theorems-for-Generative-Models-Khrulkov-Oseledets/8204599b228e8d75da2692729a3063cc9bd9192b'],[{'Citations': 1}]
Embodied Language Grounding with Implicit 3D Visual Feature Representations,"['https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-Implicit-3D-Visual-Prabhudesai-Tung/3245f7b672b382d9a122fe1730ae22113d61dbc4', 'https://www.semanticscholar.org/paper/Embodied-Language-Grounding-with-3D-Visual-Feature-Prabhudesai-Tung/77e98ae704a70478fb1eea7625f54d103e427a58']","[{'Citations': 3}, {'Citations': 0}]"
Geometry-Aware Visual Predictive Models of Intuitive Physics,['https://www.semanticscholar.org/paper/Geometry-Aware-Visual-Predictive-Models-of-Physics-Tung-Xi-an/55296fad233e1c1c45956fad95ad99d8c1e9e2e1'],[{'Citations': 0}]
PNEN: Pyramid Non-Local Enhanced Networks,['https://www.semanticscholar.org/paper/PNEN%3A-Pyramid-Non-Local-Enhanced-Networks-Zhu-Fang/117acef5ae1fee09435b12057b4f600a12a95b89'],[{'Citations': 0}]
Auto Network Compression with Cross-Validation Gradient,['https://www.semanticscholar.org/paper/Auto-Network-Compression-with-Cross-Validation-Tian-Liu/8b63c43c0966eaaf29bcc7e261df2014d9d97002'],[{'Citations': 0}]
Feature-based Augmentation for Semi-Supervised Learning,['https://www.semanticscholar.org/paper/Feature-based-Augmentation-for-Semi-Supervised-Oh-Park/231251ba65b5e4d2257c132fe2cd76481694e42a'],[{'Citations': 0}]
Capsule Networks without Routing Procedures,['https://www.semanticscholar.org/paper/Capsule-Networks-without-Routing-Procedures-Chen-Li/05c604e44ee8aec8b3b2b062f6bed054efe35b05'],[{'Citations': 1}]
Noisy $\ell^{0}$-Sparse Subspace Clustering on Dimensionality Reduced Data,['https://www.semanticscholar.org/paper/Noisy-%24%5Cell%5E%7B0%7D%24-Sparse-Subspace-Clustering-on-Data-Yang/c81ff5afc41894a550de033d7afd6719641ae9b5'],[{'Citations': 0}]
Side-Tuning: Network Adaptation via Additive Side Networks,['https://www.semanticscholar.org/paper/Side-Tuning%3A-Network-Adaptation-via-Additive-Side-Zhang-Sax/b3d60b4a1622807986efff92fa58e150b9c40567'],[{'Citations': 3}]
