year,title,first_appearance_date,papers,authors
2020,Gumbel-Matrix Routing for Flexible Multi-task Learning,9/25/2019,['https://www.semanticscholar.org/paper/Gumbel-Matrix-Routing-for-Flexible-Multi-task-Maziarz-Kokiopoulou/86027b08a9f42f0f21607486bbfd3eb620d3785e'],"['https://www.semanticscholar.org/author/Efi-Kokiopoulou/50733717', 'https://www.semanticscholar.org/author/Andrea-Gesmundo/2813347', 'https://www.semanticscholar.org/author/Jesse-Berent/6367313', 'https://www.semanticscholar.org/author/Krzysztof-Maziarz/50351613', 'https://www.semanticscholar.org/author/Gabor-Bartok/2210750', 'https://www.semanticscholar.org/author/Luciano-Sbaiz/3278630']"
2020,"OPTIMAL TRANSPORT, CYCLEGAN, AND PENALIZED LS FOR UNSUPERVISED LEARNING IN INVERSE PROBLEMS",9/25/2019,['https://www.semanticscholar.org/paper/Optimal-Transport%2C-CycleGAN%2C-and-Penalized-LS-for-Sim-Oh/278a11b20516fb969890610770dbf02817fb070d'],"['https://www.semanticscholar.org/author/Sungjun-Lim/47127808', 'https://www.semanticscholar.org/author/Byeongsu-Sim/1381100521', 'https://www.semanticscholar.org/author/Gyutaek-Oh/1379572647', 'https://www.semanticscholar.org/author/Jong-Chul-Ye/2998762']"
2020,Stabilizing DARTS with Amended Gradient Estimation on Architectural Parameters,10/25/2019,['https://www.semanticscholar.org/paper/Stabilizing-DARTS-with-Amended-Gradient-Estimation-Bi-Hu/678467b29b4b947143d960af03b73f32979dc817'],"['https://www.semanticscholar.org/author/Lingxi-Xie/3041937', 'https://www.semanticscholar.org/author/Xin-Chen/153773888', 'https://www.semanticscholar.org/author/Changping-Hu/48132902', 'https://www.semanticscholar.org/author/Kaifeng-Bi/94365920', 'https://www.semanticscholar.org/author/Qi-Tian/144876831', 'https://www.semanticscholar.org/author/Longhui-Wei/26351715']"
2020,"Why ADAM Beats SGD for Attention Models	",9/25/2019,['https://www.semanticscholar.org/paper/Why-ADAM-Beats-SGD-for-Attention-Models-Zhang-Karimireddy/b16ff8329e6b10914fd7908f22bda355130e9ba8'],"['https://www.semanticscholar.org/author/Andreas-Veit/2799898', 'https://www.semanticscholar.org/author/Seungyeon-Kim/5076305', 'https://www.semanticscholar.org/author/Surinder-Kumar/49596260', 'https://www.semanticscholar.org/author/Sashank-J.-Reddi/1981186', 'https://www.semanticscholar.org/author/Suvrit-Sra/48880404', 'https://www.semanticscholar.org/author/Sai-Praneeth-Karimireddy/40911632', 'https://www.semanticscholar.org/author/Jingzhao-Zhang/50561307']"
2020,Multi-Sample Dropout for Accelerated Training and Better Generalization,5/23/2019,['https://www.semanticscholar.org/paper/Multi-Sample-Dropout-for-Accelerated-Training-and-Inoue/4f9554a93dbbac467fb7da3ca61270d0c427f868'],['https://www.semanticscholar.org/author/Hiroshi-Inoue/94017290']
2020,Prototype Recalls for Continual Learning,5/23/2019,"['https://www.semanticscholar.org/paper/Prototype-Recalls-for-Continual-Learning-Zhang-Wang/cb68e564cb1fc785f391d73f4a772107afd76536', 'https://www.semanticscholar.org/paper/Prototype-Reminding-for-Continual-Learning-Zhang-Wang/4151d81409491c0d4dc72fc0e54bfbcd2d38e04e']","['https://www.semanticscholar.org/author/Jiashi-Feng/33221685', 'https://www.semanticscholar.org/author/Joo-Hwee-Lim/153239355', 'https://www.semanticscholar.org/author/Tao-Wang/145527080', 'https://www.semanticscholar.org/author/Mengmi-Zhang/2418491']"
2020,Learning Surrogate Losses,5/24/2019,['https://www.semanticscholar.org/paper/Learning-Surrogate-Losses-Grabocka-Scholz/2b92bdb31369cea84a294b4e16636f6975b13a1a'],"['https://www.semanticscholar.org/author/Josif-Grabocka/1782863', 'https://www.semanticscholar.org/author/Randolf-Scholz/123487824', 'https://www.semanticscholar.org/author/Lars-Schmidt-Thieme/1388781075']"
2020,Recurrent Independent Mechanisms,9/24/2019,['https://www.semanticscholar.org/paper/Recurrent-Independent-Mechanisms-Goyal-Lamb/67a9dde04f367efc903b6d06097df9bdd9887ae7'],"['https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762', 'https://www.semanticscholar.org/author/Anirudh-Goyal/1996705', 'https://www.semanticscholar.org/author/Shagun-Sodhani/2462516', 'https://www.semanticscholar.org/author/Jordan-Hoffmann/46616544', 'https://www.semanticscholar.org/author/Bernhard-Sch%C3%B6lkopf/46224364', 'https://www.semanticscholar.org/author/Alex-Lamb/108643774']"
2020,Anomaly Detection Based on Unsupervised Disentangled Representation Learning in Combination with Manifold Learning,9/25/2019,['https://www.semanticscholar.org/paper/Anomaly-Detection-Based-on-Unsupervised-Learning-in-Li-Kiringa/f879339ac0aada00bff1d2401120efa180a2f626'],"['https://www.semanticscholar.org/author/Tet-Hin-Yeap/2391149', 'https://www.semanticscholar.org/author/Iluju-Kiringa/47684212', 'https://www.semanticscholar.org/author/Yifeng-Li/72337067', 'https://www.semanticscholar.org/author/Xiao-Dan-Zhu/150345740', 'https://www.semanticscholar.org/author/Xirong-Li/9931285']"
2020,Stochastic Mirror Descent on Overparameterized Nonlinear Models,6/10/2019,['https://www.semanticscholar.org/paper/Stochastic-Mirror-Descent-on-Overparameterized-and-Azizan-Lale/247d724b7fd3269d8bde7c5d2163803a40c6a0c5'],"['https://www.semanticscholar.org/author/Sahin-Lale/66230713', 'https://www.semanticscholar.org/author/Babak-Hassibi/1736279', 'https://www.semanticscholar.org/author/Navid-Azizan/2082417']"
